base_token,dex,name,network,pool_address,pool_created_at,price_usd,reserve_usd,volume_24h
7.4705684026576,,LGNS / DAI,polygon_pos,pos_0x882df4b0fb50a229c3b4124eb18c759911485bfb,2024-03-06T16:34:32Z,7.4705684026576,433952338.2031,35877278.2224702
2.44154511381917,,AS / DAI,polygon_pos,pos_0x1a9221261dc445d773e66075b9e9e52f40e15ab1,2025-06-11T22:32:20Z,2.44154511381917,23810291.2464,479700.413322517
6.27165791333416,,MAPU / USDT 0.3%,polygon_pos,pos_0x914e7a8a62b7e2fac0f610f65f42991dbe918ede,2025-09-17T20:36:52Z,6.27165791333416,97283.8136,364465.154056376
0.126967415037072,,WPOL / USDT 0.05%,polygon_pos,pos_0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7,2022-02-07T15:09:13Z,0.126967415037072,1041730.1254,2771855.81416637
1.00018431266812,,USDC / WETH 0.05%,polygon_pos,pos_0xa4d8c89f0c20efbe54cba9e7e7a7e509056228d9,2023-10-14T20:30:41Z,1.00018431266812,800345.1577,1920202.74844682
3320.38,,WETH / USDT 0.05%,polygon_pos,pos_0xbb98b3d2b18aef63a3178023a920971cf5f29be4,2022-02-07T20:31:36Z,3320.38,329669.5566,648378.864357992
1.00092073986892,,USDC / WETH 0.05%,polygon_pos,pos_0x45dda9cb7c25131df268515131f647d726f50608,2022-02-07T15:09:02Z,1.00092073986892,883585.2009,915919.762482293
0.999762283368007,,USDC / USDT 0.001%,polygon_pos,pos_0x7b925e617aefd7fb3a93abe3a701135d7a1ba710,2022-10-13T00:44:21Z,0.999762283368007,261755.8057,2455881.33352854
1.00098655108786,,USDC / WPOL 0.05%,polygon_pos,pos_0xb6e57ed85c4c9dbfef2a68711e9d6f36c56e0fcb,2023-10-21T15:39:25Z,1.00098655108786,269591.6885,385524.340830081
0.126967415037072,,WPOL / USDC 0.05%,polygon_pos,pos_0xa374094527e1673a86de625aa59517c5de346d32,2022-02-07T15:09:02Z,0.126967415037072,252718.2593,171952.303351976
